TIMESTAMP,IRT5003C2xx24,TDR5003C20624,TDR5003C21824,TDR5003C23024,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,swsi,et,cwsi
2024-07-18 00:00:00,19.925775,23.6,21.441665,20.5,20.756500000000003,73.4935,1.14795,165.165,922.5979633333334,0.0,0.0,20.90333333333333,20.604,73.66883333333334,73.32,0.0,5.490919466183446,
2024-07-18 01:00:00,17.65878,23.6,21.40833,20.458335,18.72683333333333,82.73649999999999,1.1707166666666666,195.42,922.475665,0.0,0.0,18.8655,18.5625,82.93966666666667,82.52433333333333,0.0,,
2024-07-18 02:00:00,16.66544,23.591665,21.4,20.48333,17.663999999999998,85.26333333333334,0.9174666666666668,183.8933333333333,922.4140083333332,0.0,0.0,17.806166666666666,17.505,85.49499999999999,85.02833333333334,0.0,,
2024-07-18 03:00:00,15.379435,23.58333,21.375,20.491665,15.3235,92.93666666666668,1.2555166666666666,186.795,922.2492366666668,0.0,0.0,15.468666666666667,15.171166666666666,93.14166666666668,92.71833333333332,0.0,,
2024-07-18 04:00:00,14.49325,23.591665,21.4,20.5,15.370666666666668,93.52333333333333,1.2040833333333334,199.5366666666667,922.2019866666668,0.0,0.0,15.511666666666668,15.217,93.79333333333334,93.25333333333332,0.0,,
2024-07-18 05:00:00,14.45547,23.591665,21.4,20.5,14.749166666666667,94.67666666666668,0.4041333333333333,100.31883333333332,922.41782,0.0,0.0,14.8915,14.599333333333334,94.95333333333332,94.40333333333334,0.0,,
2024-07-18 06:00:00,13.69785,23.575000000000003,21.375,20.508335,14.534333333333333,96.46166666666666,0.5593166666666666,133.01666666666668,922.6358583333332,3.7917,0.0,14.685166666666667,14.3855,96.64,96.26333333333334,0.0,,
2024-07-18 07:00:00,14.30059,23.591665,21.41666,20.525,15.509166666666664,94.97166666666666,0.1946166666666666,28.326666666666664,922.8274316666668,88.146,0.0,15.6595,15.347166666666668,95.19333333333334,94.72833333333332,0.0,,
2024-07-18 08:00:00,17.148235,23.558335,21.36667,20.475,19.525,76.8115,2.4138333333333337,165.72166666666666,922.84125,262.04833333333335,0.0,19.669666666666668,19.369666666666667,77.17883333333333,76.47,0.0,,
2024-07-18 09:00:00,20.58214,23.5,21.391665,20.541665,22.0355,66.521,3.41665,177.97833333333335,922.7054883333332,435.4316666666667,0.0,22.19783333333333,21.882166666666667,66.944,66.09566666666666,0.0,,
